Author,ID,Location,Q_m3_s,q_m2_s,U_m_s,W_m,H_m,R_m,S_m_m,D16_m,D50_m,D84_m,D90_m,Sorting,Rhos_kg_m3,Rho_kg_m3,qb_kg_m_s,C_ppht,Record_Number,Froude,GammaS_N_m3,GammaF_N_m3,Tau0_kg_m_s2,TauStar,Ustar_m_s,ManningN,WP_m,A_m2
GUY_1966,34,UNKNOWN,0.6283,0.25768,1.32076,2.4383,0.1951,0.168185,0.0035,,0.00018989,,,1.3,2650,998.493,3.36243,1290,34,0.95485,25987.6,9791.87,5.76396,1.87421,0.075978,0.013648,2.8285,0.475711
GUY_1966,35,UNKNOWN,0.6322,0.259279,1.39472,2.4383,0.1859,0.161304,0.0039,,0.00018989,,,1.3,2650,998.474,4.26297,1620,35,1.03297,25987.6,9791.69,6.15981,2.0029,0.0785444,0.0132681,2.8101,0.453281
GUY_1966,36,UNKNOWN,0.6277,0.257433,1.40751,2.4383,0.1829,0.15904,0.0046,,0.00018989,,,1.3,2650,998.531,6.29405,2390,36,1.05096,25987.6,9792.24,7.16385,2.32945,0.0847018,0.0141449,2.8041,0.445965
GUY_1966,37,UNKNOWN,0.4567,0.187303,1.22902,2.4383,0.1524,0.135466,0.00542,,0.00018989,,,1.3,2650,998.531,4.83493,2520,37,1.00532,25987.6,9792.24,7.18972,2.33786,0.0848546,0.0158001,2.7431,0.371597
GUY_1966,38,UNKNOWN,0.6229,0.255465,1.44494,2.4383,0.1768,0.154408,0.00582,,0.00018989,,,1.3,2650,998.643,6.97159,2660,38,1.09736,25987.6,9793.34,8.80083,2.86194,0.0938765,0.0151959,2.79189,0.431091
GUY_1966,39,UNKNOWN,0.44,0.180454,1.16122,2.4383,0.1554,0.137831,0.00845,,0.00018989,,,1.3,2650,998.839,6.63418,3550,39,0.940651,25987.6,9795.26,11.4083,3.71029,0.106872,0.0211225,2.7491,0.378912
GUY_1966,40,UNKNOWN,0.6183,0.253578,1.28005,2.4383,0.1981,0.17041,0.0095,,0.00018989,,,1.3,2650,998.751,12.574,4730,40,0.918384,25987.6,9794.4,15.8561,5.15657,0.126,0.0234044,2.83451,0.483028
GUY_1966,41,UNKNOWN,0.1724,0.070705,0.241644,2.4383,0.2926,0.235967,7.00E-05,,0.00027005,,,1.56,2650,999.202,,,41,0.142652,25987.6,9798.82,0.161854,0.037022,0.0127273,0.0132213,3.0235,0.713446
GUY_1966,42,UNKNOWN,0.1724,0.070705,0.254885,2.4383,0.2774,0.225981,0.00018,,0.00027005,,,1.56,2650,999.004,0,0,42,0.154536,25987.6,9796.88,0.398504,0.0911416,0.0199725,0.0195287,2.9931,0.676383
GUY_1966,43,UNKNOWN,0.2792,0.114506,0.379536,2.4383,0.3017,0.24185,0.00046,,0.00027005,,,1.56,2650,998.972,0.00137268,1.2,43,0.220651,25987.6,9796.57,1.08988,0.249261,0.0330303,0.021936,3.0417,0.735635
GUY_1966,44,UNKNOWN,0.3468,0.14223,0.496441,2.4383,0.2865,0.231984,0.00065,,0.00027005,,,1.56,2650,998.972,0.0139256,9.8,44,0.296173,25987.6,9796.57,1.47722,0.337848,0.0384544,0.0193893,3.0113,0.698572
GUY_1966,45,UNKNOWN,0.3856,0.158143,0.557824,2.4383,0.2835,0.230013,0.00084,,0.00027005,,,1.56,2650,998.569,0.0315896,20,45,0.334549,25987.6,9792.62,1.89204,0.432614,0.0435287,0.0195049,3.0053,0.691257
GUY_1966,46,UNKNOWN,0.4411,0.180905,0.581874,2.4383,0.3109,0.247726,0.00108,,0.00027005,,,1.56,2650,998.821,0.0647107,35.8,46,0.333241,25987.6,9795.09,2.62062,0.599294,0.0512222,0.0222774,3.06011,0.758068
GUY_1966,47,UNKNOWN,0.1447,0.0593446,0.405637,2.4383,0.1463,0.130625,0.00126,,0.00027005,,,1.56,2650,999.287,0.00551563,9.3,47,0.338653,25987.6,9799.66,1.6129,0.368949,0.0401753,0.0225285,2.73089,0.356723
GUY_1966,48,UNKNOWN,0.314,0.128778,0.563334,2.4383,0.2286,0.192504,0.00126,,0.00027005,,,1.56,2650,999.083,0.070802,55,48,0.376242,25987.6,9797.66,2.37647,0.543548,0.0487714,0.0210077,2.8955,0.557396
GUY_1966,49,UNKNOWN,0.504,0.206701,0.62789,2.4383,0.3292,0.259208,0.0013,,0.00027005,,,1.56,2650,998.606,0.131982,63.9,49,0.349457,25987.6,9792.98,3.29994,0.754547,0.0574852,0.0233446,3.0967,0.802688
GUY_1966,50,UNKNOWN,0.6183,0.253578,0.99054,2.4383,0.256,0.211573,0.00138,,0.00027005,,,1.56,2650,998.662,0.322022,127,50,0.625161,25987.6,9793.53,2.85942,0.653842,0.0535094,0.013316,2.95031,0.624205
GUY_1966,51,UNKNOWN,0.5445,0.223311,0.648407,2.4383,0.3444,0.26854,0.0014,,0.00027005,,,1.56,2650,998.734,0.207833,93.1,51,0.352822,25987.6,9794.23,3.6822,0.842017,0.0607196,0.024019,3.1271,0.83975
GUY_1966,52,UNKNOWN,0.6101,0.250215,0.797118,2.4383,0.3139,0.249627,0.00163,,0.00027005,,,1.56,2650,998.839,0.208361,83.3,52,0.454325,25987.6,9795.26,3.98561,0.911457,0.0631684,0.0200801,3.0661,0.765382
GUY_1966,53,UNKNOWN,0.4439,0.182053,0.635438,2.4383,0.2865,0.231984,0.00167,,0.00027005,,,1.56,2650,999.158,0.128148,70.4,53,0.379097,25987.6,9798.39,3.79603,0.868269,0.0616379,0.0242805,3.0113,0.698573
GUY_1966,54,UNKNOWN,0.6161,0.252676,1.12051,2.4383,0.2255,0.190301,0.00167,,0.00027005,,,1.56,2650,998.531,0.422054,167,54,0.753498,25987.6,9792.24,3.112,0.711541,0.0558263,0.0120662,2.88931,0.549839
GUY_1966,55,UNKNOWN,0.1911,0.0783743,0.559018,2.4383,0.1402,0.12574,0.00185,,0.00027005,,,1.56,2650,999.245,0.0590157,75.3,55,0.476751,25987.6,9799.25,2.27949,0.521417,0.0477621,0.0193112,2.7187,0.341849
GUY_1966,56,UNKNOWN,0.6169,0.253004,1.31773,2.4383,0.192,0.165877,0.0028,,0.00027005,,,1.56,2650,999.328,1.20925,476,56,0.960319,25987.6,9800.06,4.55169,1.04122,0.0674889,0.012123,2.82229,0.468154
GUY_1966,57,UNKNOWN,0.6141,0.251856,1.40076,2.4383,0.1798,0.156691,0.00493,,0.00027005,,,1.56,2650,998.988,2.30547,908,57,1.05489,25987.6,9796.73,7.56784,1.73082,0.0870374,0.0145688,2.79789,0.438405
GUY_1966,58,UNKNOWN,0.6147,0.252102,1.50419,2.4383,0.1676,0.147344,0.00813,,0.00027005,,,1.56,2650,999.71,7.44696,2870,58,1.17329,25987.6,9803.81,11.744,2.68712,0.108386,0.0167224,2.7735,0.408658
GUY_1966,59,UNKNOWN,0.4363,0.178936,1.3042,2.4383,0.1372,0.123322,0.00952,,0.00027005,,,1.56,2650,999.634,6.60285,3560,59,1.12436,25987.6,9803.06,11.509,2.63323,0.1073,0.0185354,2.71269,0.334535
GUY_1966,60,UNKNOWN,0.6045,0.247919,1.35549,2.4383,0.1829,0.15904,0.01022,,0.00027005,,,1.56,2650,999.654,9.20184,3580,60,1.01211,25987.6,9803.26,15.9341,3.64572,0.126252,0.0218927,2.8041,0.445964
GUY_1966,61,UNKNOWN,0.1871,0.0767338,0.249298,2.4383,0.3078,0.245754,7.00E-05,,0.00028011,,,1.67,2650,999.287,0,0,61,0.143491,25987.6,9799.66,0.168581,0.0371781,0.0129885,0.0131673,3.0539,0.750507
GUY_1966,62,UNKNOWN,0.2197,0.0901038,0.295616,2.4383,0.3048,0.243838,0.00011,,0.00028011,,,1.67,2650,999.537,0,0,62,0.170986,25987.6,9802.11,0.262914,0.0579905,0.0162184,0.0138474,3.0479,0.743194
GUY_1966,63,UNKNOWN,0.2197,0.0901038,0.292735,2.4383,0.3078,0.245754,0.00023,,0.00028011,,,1.67,2650,999.644,0.00027022,0.3,63,0.168492,25987.6,9803.16,0.554108,0.122227,0.0235437,0.0203262,3.0539,0.750508
GUY_1966,64,UNKNOWN,0.1178,0.0483124,0.2687,2.4383,0.1798,0.156691,0.00041,,0.00028011,,,1.67,2650,999.113,4.83E-05,0.1,64,0.202354,25987.6,9797.95,0.629453,0.138802,0.0251,0.0219022,2.79791,0.438407
GUY_1966,65,UNKNOWN,0.3038,0.124595,0.408776,2.4383,0.3048,0.243838,0.00045,,0.00028011,,,1.67,2650,998.89,0.0014935,1.2,65,0.236438,25987.6,9795.76,1.07486,0.236987,0.0328033,0.0202545,3.0479,0.743194
GUY_1966,66,UNKNOWN,0.3811,0.156297,0.512787,2.4383,0.3048,0.243838,0.00063,,0.00028011,,,1.67,2650,998.906,0.0117104,7.5,66,0.296599,25987.6,9795.92,1.50483,0.331791,0.0388134,0.0191044,3.0479,0.743194
GUY_1966,67,UNKNOWN,0.3038,0.124595,0.475372,2.4383,0.2621,0.215723,0.00069,,0.00028011,,,1.67,2650,999.188,0.00634951,5.1,67,0.29651,25987.6,9798.69,1.45852,0.321636,0.0382061,0.0198757,2.9625,0.639078
GUY_1966,68,UNKNOWN,0.1393,0.05713,0.317742,2.4383,0.1798,0.156691,0.00073,,0.00028011,,,1.67,2650,999.144,0.00114164,2,68,0.239287,25987.6,9798.26,1.12077,0.247147,0.0334922,0.0247144,2.7979,0.438406
GUY_1966,69,UNKNOWN,0.4456,0.18275,0.565615,2.4383,0.3231,0.255411,0.0009,,0.00028011,,,1.67,2650,998.698,0.0602489,33,69,0.317755,25987.6,9793.88,2.25132,0.496318,0.047479,0.0213514,3.0845,0.787815
GUY_1966,70,UNKNOWN,0.3596,0.14748,0.549887,2.4383,0.2682,0.219838,0.001,,0.00028011,,,1.67,2650,998.856,0.0596851,40.5,70,0.339066,25987.6,9795.43,2.15341,0.474778,0.0464314,0.0209473,2.9747,0.653953
GUY_1966,71,UNKNOWN,0.2036,0.0835008,0.480718,2.4383,0.1737,0.152038,0.00108,,0.00028011,,,1.67,2650,998.972,0.0125141,15,71,0.368324,25987.6,9796.57,1.60861,0.354686,0.0401281,0.019474,2.78571,0.423533
GUY_1966,72,UNKNOWN,0.2438,0.0999877,0.529035,2.4383,0.189,0.163633,0.00116,,0.00028011,,,1.67,2650,999.036,0.0297765,29.8,72,0.388591,25987.6,9797.2,1.85965,0.410055,0.0431444,0.0192601,2.8163,0.460839
GUY_1966,73,UNKNOWN,0.5136,0.210639,0.460714,2.4383,0.4572,0.332505,0.0012,,0.00028011,,,1.67,2650,999.036,0.106534,50.6,73,0.217579,25987.6,9797.2,3.90914,0.861971,0.0625533,0.0360876,3.35271,1.11479
GUY_1966,74,UNKNOWN,0.4301,0.176393,0.629078,2.4383,0.2804,0.227968,0.00131,,0.00028011,,,1.67,2650,999.004,0.117086,66.4,74,0.379363,25987.6,9796.88,2.92572,0.645114,0.0541169,0.0214707,2.9991,0.683699
GUY_1966,75,UNKNOWN,0.5773,0.236763,0.726045,2.4383,0.3261,0.257282,0.00131,,0.00028011,,,1.67,2650,998.89,0.173245,73.2,75,0.406002,25987.6,9795.76,3.30156,0.727934,0.0574911,0.0201656,3.0905,0.79513
GUY_1966,76,UNKNOWN,0.2803,0.114957,0.580299,2.4383,0.1981,0.17041,0.00134,,0.00028011,,,1.67,2650,999.144,0.0647019,56.3,76,0.416341,25987.6,9798.26,2.23743,0.493388,0.0473217,0.0193894,2.8345,0.483027
GUY_1966,77,UNKNOWN,0.4878,0.200057,0.643478,2.4383,0.3109,0.247726,0.00134,,0.00028011,,,1.67,2650,999.004,0.109782,54.9,77,0.368522,25987.6,9796.88,3.2521,0.71708,0.0570556,0.0224388,3.06011,0.758068
GUY_1966,78,UNKNOWN,0.6234,0.25567,0.921665,2.4383,0.2774,0.225981,0.00134,,0.00028011,,,1.67,2650,999.036,0.314558,123,78,0.558804,25987.6,9797.2,2.96673,0.654169,0.054494,0.0147353,2.9931,0.676385
GUY_1966,79,UNKNOWN,0.2834,0.116229,0.586716,2.4383,0.1981,0.17041,0.00136,,0.00028011,,,1.67,2650,999.173,0.0586765,50.5,79,0.420945,25987.6,9798.54,2.27089,0.500775,0.0476735,0.0193199,2.8345,0.483028
GUY_1966,80,UNKNOWN,0.4326,0.177419,0.661516,2.4383,0.2682,0.219838,0.00136,,0.00028011,,,1.67,2650,999.098,0.130026,73.3,80,0.407897,25987.6,9797.8,2.92934,0.645949,0.0541478,0.0203063,2.9747,0.653952
GUY_1966,81,UNKNOWN,0.3386,0.138867,0.747,2.4383,0.1859,0.161304,0.00141,,0.00028011,,,1.67,2650,999.173,0.144453,104,81,0.553249,25987.6,9798.54,2.22857,0.491443,0.0472272,0.0148954,2.8101,0.45328
GUY_1966,82,UNKNOWN,0.4439,0.182053,0.933127,2.4383,0.1951,0.168185,0.00142,,0.00028011,,,1.67,2650,999.202,0.249556,137,82,0.674608,25987.6,9798.82,2.34018,0.516065,0.0483947,0.0123044,2.82851,0.475712
GUY_1966,83,UNKNOWN,0.1557,0.063856,0.476182,2.4383,0.1341,0.120811,0.0015,,0.00028011,,,1.67,2650,999.259,0.0306429,48,83,0.415239,25987.6,9799.38,1.77581,0.391622,0.042156,0.0198767,2.70651,0.326976
GUY_1966,84,UNKNOWN,0.4224,0.173235,0.947159,2.4383,0.1829,0.15904,0.00153,,0.00028011,,,1.67,2650,999.443,0.267045,154,84,0.707222,25987.6,9801.19,2.38493,0.526011,0.0488494,0.0121225,2.80411,0.445965
GUY_1966,85,UNKNOWN,0.3644,0.149448,0.653755,2.4383,0.2286,0.192504,0.00158,,0.00028011,,,1.67,2650,999.406,0.117938,78.9,85,0.436633,25987.6,9800.82,2.98098,0.657459,0.0546146,0.0202709,2.8955,0.557395
GUY_1966,86,UNKNOWN,0.6223,0.255219,1.02128,2.4383,0.2499,0.20739,0.00172,,0.00028011,,,1.67,2650,999.02,0.600588,235,86,0.652381,25987.6,9797.04,3.49471,0.770581,0.0591451,0.014228,2.9381,0.609333
GUY_1966,87,UNKNOWN,0.6186,0.253701,1.15634,2.4383,0.2194,0.185938,0.00199,,0.00028011,,,1.67,2650,999.173,0.688829,271,87,0.788328,25987.6,9798.54,3.62562,0.799522,0.0602381,0.0125676,2.87711,0.534964
GUY_1966,88,UNKNOWN,0.4451,0.182545,1.08917,2.4383,0.1676,0.147344,0.00229,,0.00028011,,,1.67,2650,999.113,0.504771,276,88,0.849568,25987.6,9797.95,3.306,0.729013,0.0575234,0.0122568,2.77351,0.40866
GUY_1966,89,UNKNOWN,0.4445,0.182299,1.15015,2.4383,0.1585,0.140264,0.00278,,0.00028011,,,1.67,2650,999.067,0.570021,312,89,0.922528,25987.6,9797.5,3.82038,0.842415,0.0618381,0.0123756,2.75531,0.386471
GUY_1966,90,UNKNOWN,0.4391,0.180084,1.18166,2.4383,0.1524,0.135466,0.00328,,0.00028011,,,1.67,2650,999.129,0.915064,506,90,0.966584,25987.6,9798.11,4.35358,0.960025,0.0660104,0.0127839,2.74309,0.371596
GUY_1966,91,UNKNOWN,0.6161,0.252676,1.42916,2.4383,0.1768,0.154408,0.0047,,0.00028011,,,1.67,2650,999.654,2.68032,1050,91,1.08537,25987.6,9803.26,7.1144,1.56932,0.0843615,0.0138064,2.7919,0.431092
GUY_1966,92,UNKNOWN,0.438,0.179633,1.3702,2.4383,0.1311,0.118371,0.00533,,0.00028011,,,1.67,2650,999.113,2.08796,1150,92,1.20843,25987.6,9797.95,6.1817,1.36314,0.0786587,0.0128453,2.7005,0.319661
GUY_1966,93,UNKNOWN,0.6042,0.247796,1.45164,2.4383,0.1707,0.149735,0.00593,,0.00028011,,,1.67,2650,999.71,3.26283,1300,93,1.12197,25987.6,9803.81,8.70508,1.92027,0.0933145,0.0149584,2.7797,0.416219
GUY_1966,94,UNKNOWN,0.6039,0.247673,1.50469,2.4383,0.1646,0.14502,0.00815,,0.00028011,,,1.67,2650,999.644,7.02728,2760,94,1.18433,25987.6,9803.16,11.5865,2.55578,0.10766,0.0165609,2.76752,0.401345
GUY_1966,95,UNKNOWN,0.2361,0.0968298,1.05941,2.4383,0.0914,0.0850256,0.0082,,0.00028011,,,1.67,2650,999.571,1.96519,1990,95,1.119,25987.6,9802.44,6.83436,1.50748,0.0826879,0.0165276,2.62109,0.22286
GUY_1966,96,UNKNOWN,0.4321,0.177214,1.45376,2.4383,0.1219,0.110819,0.0093,,0.00028011,,,1.67,2650,999.623,6.63451,3610,96,1.32963,25987.6,9802.95,10.1031,2.22854,0.100533,0.0153047,2.68211,0.297229
GUY_1966,97,UNKNOWN,0.6053,0.248247,1.42917,2.4383,0.1737,0.152038,0.01007,,0.00028011,,,1.67,2650,999.581,10.9871,4240,97,1.09502,25987.6,9802.54,15.0079,3.31036,0.122532,0.0200016,2.7857,0.423533
GUY_1966,98,UNKNOWN,0.1116,0.0457696,0.246205,2.4383,0.1859,0.161304,0.00015,,0.00044989,,,1.6,2650,999.71,0,0,98,0.182346,25987.6,9803.81,0.237209,0.0325798,0.0154038,0.0147405,2.8101,0.453281
GUY_1966,99,UNKNOWN,0.0521,0.0213673,0.200256,2.4383,0.1067,0.0981131,0.00019,,0.00044989,,,1.6,2650,999.809,0,0,99,0.195769,25987.6,9804.78,0.182776,0.0251051,0.0135207,0.0146423,2.6517,0.260167
GUY_1966,100,UNKNOWN,0.1761,0.0722225,0.241789,2.4383,0.2987,0.239918,0.0002,,0.00044989,,,1.6,2650,999.526,7.22E-05,0.1,100,0.141273,25987.6,9802,0.470335,0.0645917,0.0216924,0.0225833,3.03571,0.728321
GUY_1966,101,UNKNOWN,0.1447,0.0593446,0.240359,2.4383,0.2469,0.205319,0.00021,,0.00044989,,,1.6,2650,999.526,5.93E-05,0.1,101,0.154468,25987.6,9802,0.422633,0.0580407,0.0205629,0.020983,2.9321,0.602016
GUY_1966,102,UNKNOWN,0.1435,0.0588525,0.241397,2.4383,0.2438,0.203171,0.00023,,0.00044989,,,1.6,2650,999.634,5.88E-05,0.1,102,0.156119,25987.6,9803.06,0.45809,0.0629142,0.021407,0.0217123,2.92589,0.594456
GUY_1966,103,UNKNOWN,0.1025,0.0420375,0.237769,2.4383,0.1768,0.154408,0.00031,,0.00044989,,,1.6,2650,999.603,0,0,103,0.180573,25987.6,9802.76,0.469223,0.064442,0.0216659,0.0213127,2.79189,0.431091
GUY_1966,104,UNKNOWN,0.2237,0.0917443,0.367124,2.4383,0.2499,0.20739,0.00036,,0.00044989,,,1.6,2650,999.634,0.0008254,0.9,104,0.234514,25987.6,9803.06,0.7319,0.100519,0.0270586,0.0181077,2.93809,0.609331
GUY_1966,105,UNKNOWN,0.2237,0.0917443,0.354088,2.4383,0.2591,0.213686,0.00039,,0.00044989,,,1.6,2650,999.581,0.00091707,1,105,0.222135,25987.6,9802.54,0.81692,0.112192,0.0285878,0.0199345,2.95651,0.631764
