name,Age,km_driven,FuelEconomy_kmpl,engine_p,engine_v,selling_price
Maruti Ciaz Zeta,2,64000,20.6,82,1462,850000
Honda Jazz VX Diesel,5,63000,27.3,46,1498,525000
Toyota Innova Crysta 2.8 ZX AT BSIV,4,127700,11.3,88,2755,1650000
Toyota Innova 2.5 G (Diesel) 7 Seater,4,99000,12.9,67,2494,950000
Audi A6 2.0 TDI Technology,7,33900,17.6,81,1968,1750000
Toyota Corolla Altis 1.8 VL CVT,2,25000,14.2,83,1798,1590000
Audi A6 2.0 TDI  Design Edition,7,50000,18.5,94,1968,1689999
Mercedes-Benz New C-Class 220 CDI AT,7,59000,14.8,69,2143,1425000
Tata Manza ELAN Quadrajet BS IV,9,120000,21.1,88,1248,265000
Hyundai i10 Magna,9,110000,20.3,67,1197,190000
Hyundai i20 Asta 1.4 CRDi,7,60000,21.2,88,1396,425000
Maruti Swift Dzire ZDI,5,147000,26.5,83,1248,630000
Ford Figo 1.2P Titanium MT,3,25000,18.1,67,1196,600000
Maruti Baleno Delta 1.2,1,30000,21.4,83,1197,650000
Volkswagen Ameo 1.5 TDI Highline 16 Alloy,4,40000,22.0,98,1498,540000
Honda City i DTEC VX,5,135000,25.1,73,1498,630000
Maruti Wagon R AMT VXI,2,30000,20.5,67,998 ,448000
Volkswagen Ameo 1.5 TDI Comfortline,3,80000,21.6,46,1498,500000
Maruti Vitara Brezza VDi,4,70000,24.3,88,1248,745000
Maruti Vitara Brezza ZDi Plus AMT,1,9850,24.3,62,1248,1025000
Hyundai i10 Magna,9,60000,20.3,88,1197,235000
Maruti Swift VDI Deca,4,70000,25.2,86,1248,630000
Toyota Fortuner 4x4 MT,5,78000,12.5,88,2982,1700000
Maruti Swift Star VDI,7,120000,22.9,93,1248,450000
Maruti Ertiga ZXI,8,120000,16.0,81,1373,450000
Volkswagen Vento Diesel Highline,7,170000,20.5,67,1598,450000
Toyota Innova 2.5 VX (Diesel) 8 Seater,4,140000,12.9,81,2494,1200000
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,5,90000,22.7,91,1498,610000
BMW X1 sDrive20i xLine,4,30000,15.7,86,1998,2500000
Maruti Celerio ZXI MT BSIV,3,10000,23.1,81,998 ,484999
Datsun GO A Petrol,4,49000,19.0,81,1198,275000
Maruti Alto 800 VXI BSIV,4,32000,24.7,73,796 ,315000
Maruti Alto 800 LXI BSIV,4,38000,24.7,85,796 ,275000
Hyundai i10 Era 1.1,8,28000,19.8,87,1086,290000
Maruti Omni 8 Seater BSIV,3,32000,14.0,67,796 ,280000
Maruti Wagon R LXI LPG BSIV,10,44000,26.2,83,998 ,225000
Volkswagen Polo 1.2 MPI Comfortline,5,42000,16.4,81,1198,455000
Hyundai i10 Magna 1.1L,5,45000,19.8,88,1086,351000
Volkswagen Vento Petrol Highline,8,12000,15.0,88,1598,535000
Maruti Zen Estilo LXI BSIII,11,55500,18.2,86,998 ,175000
Hyundai i20 Asta Optional with Sunroof 1.2,7,61500,18.5,58,1197,525000
Maruti Swift Dzire LDI,4,150000,26.5,83,1248,600000
Hyundai Xcent 1.2 Kappa SX Option AT,4,72000,19.1,82,1197,565000
Maruti Alto LX BSIII,12,68000,19.7,81,796 ,120000
Hyundai i20 1.4 Asta Option,3,110000,22.5,47,1396,725000
Maruti Wagon R VXI,11,77000,21.7,81,998 ,185000
Tata Manza Aura (ABS) Quadrajet,10,100000,18.8,81,1248,200000
Maruti Swift VXI,1,10000,21.2,82,1197,615000
Maruti Eeco 7 Seater Standard BSIV,4,100000,15.3,74,1196,270000
Maruti Baleno Zeta 1.2,2,35000,21.4,67,1197,610000
Mahindra Scorpio VLX AT AIRBAG BSIV,6,70000,11.7,86,2179,625000
Ford Freestyle Titanium Petrol BSIV,0,5000,19.0,83,1194,400000
Hyundai Verna VTVT 1.6 SX,3,37800,17.0,46,1591,866000
Volkswagen Passat 1.8 TSI MT,10,114000,14.3,53,1798,700000
Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,10,48000,15.8,88,1172,300000
Mahindra XUV500 W11 Option AWD,1,32000,15.1,81,2179,1700000
Tata Indigo CS LS (TDI) BS-III,4,100000,19.0,47,1405,375000
Hyundai Verna 1.6 SX,7,150000,22.3,88,1582,522000
Hyundai i20 Magna 1.4 CRDi (Diesel),7,69000,21.9,97,1396,451999
Toyota Corolla Altis G,11,100000,14.5,67,1798,300000
Maruti Celerio VXI,0,13000,21.6,67,998 ,475000
Maruti Vitara Brezza ZDi Plus Dual Tone,4,60000,24.3,73,1248,780000
Maruti Swift Dzire VXI,3,40000,20.8,53,1197,595000
Maruti Wagon R VXI BS IV,3,35000,20.5,88,998 ,440000
Nissan Terrano XL 85 PS,6,70000,20.4,62,1461,400000
Hyundai Creta 1.6 CRDi SX,4,50000,19.6,88,1582,1140000
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,3,76139,23.0,78,1498,850000
Maruti Swift Dzire VDi,8,175000,19.3,88,1248,370000
Renault KWID 1.0,2,25000,23.0,82,999 ,350000
Maruti Celerio VXI,5,40000,23.1,83,998 ,360000
Maruti Alto LXi,12,65000,19.7,88,796 ,105000
Maruti Ertiga VDI,7,90000,20.7,73,1248,625000
Hyundai Santro Xing GLS,11,80000,17.9,98,1086,135000
Maruti Ertiga VDI,5,110000,20.7,73,1248,700000
Honda Amaze S i-VTEC,1,1303,17.8,73,1198,690000
Audi Q5 35TDI Premium Plus,2,31800,17.0,99,1968,3975000
Lexus ES 300h,1,20000,22.3,81,2487,5150000
Jaguar XF 2.0 Diesel Portfolio,3,45000,19.3,83,1999,3200000
Jeep Wrangler 2016-2019 3.6 4X4,3,17000,9.5 ,73,3604,4100000
Land Rover Discovery Sport TD4 SE,1,21000,12.8,81,1999,4500000
Mercedes-Benz S-Class S 350 CDI,3,37000,13.5,67,2987,6000000
BMW 5 Series 520d Sport Line,2,29500,22.4,88,1995,3790000
BMW X4 M Sport X xDrive20d,1,7500,16.7,69,1995,5800000
Skoda Superb LK 1.8 TSI AT,2,50000,14.6,88,1798,1864999
Mercedes-Benz E-Class E250 Edition E,4,35000,15.0,86,2143,2700000
MG Hector Sharp AT BSIV,1,19000,13.9,88,1451,1750000
Honda City i-VTEC CVT VX,3,41000,18.0,46,1497,795000
Toyota Corolla Altis 1.8 G CVT,7,39000,14.2,34,1798,625000
Volvo XC40 D4 R-Design,2,22000,18.0,78,1969,3400000
Audi Q7 35 TDI Quattro Premium,5,53000,12.0,81,2967,2650000
Maruti Ciaz ZDi,5,40000,26.2,78,1248,535000
Mercedes-Benz S-Class S 350 CDI,3,47000,13.5,85,2987,5850000
BMW 5 Series 523i,10,72200,10.8,85,2497,975000
Hyundai Elantra S,4,49900,16.3,62,1797,805000
Jaguar XE 2016-2019 2.0L Diesel Prestige,3,9000,13.6,81,1999,2625000
Tata Nexon 1.2 Revotron XZ Plus Dual Tone,2,11000,17.0,81,1198,811000
Volkswagen Vento Petrol Highline,9,49000,15.0,46,1598,375000
Hyundai Elantra SX,8,95000,16.3,85,1797,550000
Skoda Rapid 1.6 MPI AT Elegance,4,11000,14.3,85,1598,645000
Mercedes-Benz CLA 200 CGI Sport,2,18000,15.0,79,1991,2550000
Maruti Ertiga ZXI,6,46100,16.0,97,1373,599000
Mercedes-Benz New C-Class C 200 AVANTGARDE,3,16000,14.7,97,1991,2700000
Honda City V AT,3,18000,15.6,93,1497,875000
Toyota Glanza V CVT,1,9654,19.5,53,1197,894999
Maruti Alto K10 VXI,9,11000,23.9,67,998 ,175000
Maruti Swift VXI,8,24300,21.2,88,1197,340000
Toyota Innova Crysta 2.8 ZX AT BSIV,4,42163,11.3,73,2755,1525000
Tata Nexon 1.5 Revotorq XZA Plus DualTone,2,8000,21.5,83,1497,1025000
BMW 3 Series 320d Luxury Line,4,30000,22.6,88,1995,2150000
Toyota Camry 2.5 Hybrid,4,41000,19.1,85,2494,1900000
BMW 5 Series 520d Luxury Line,4,12000,18.1,81,1995,2900000
Toyota Camry W4 (AT),11,71000,12.1,67,2362,450000
Maruti Ertiga BSIV ZXI Plus,4,20000,17.5,73,1373,850000
Volvo XC90 T8 Excellence BSIV,3,30000,42.0,63,1969,10000000
Volkswagen Vento Diesel Highline,9,100000,20.5,67,1598,300000
Ford Figo Aspire 1.2 Ti-VCT Trend,2,9500,18.1,46,1196,575000
Ford Figo Diesel LXI,9,120000,20.0,73,1399,160000
Maruti Swift VXI Optional,5,36600,20.4,66,1197,515000
Maruti Wagon R AMT VXI,5,50000,20.5,88,998 ,390000
Hyundai i20 Magna 1.2,4,14000,18.6,63,1197,550000
Maruti 800 Std,21,40000,16.1,67,796 ,40000
Maruti Ritz VDi,10,120000,21.1,81,1248,220000
Hyundai Grand i10 Magna,5,70000,18.9,53,1197,425000
Volkswagen Ameo 1.0 MPI Trendline,1,13000,19.4,86,999 ,480000
Hyundai Grand i10 Sportz,6,60000,18.9,73,1197,400000
Maruti Swift Dzire VXI,6,35000,19.1,97,1197,487000
Hyundai Xcent 1.2 Kappa S,4,44000,19.1,67,1197,386000
Honda City 1.5 EXI,15,120000,13.0,78,1493,100000
Toyota Corolla Altis Diesel D4DG,10,60000,21.4,83,1364,300000
Daewoo Matiz SD,20,60000,18.5,64,796 ,100000
Toyota Fortuner 4x2 Manual,6,30000,13.0,37,2982,1750000
Mahindra KUV 100 mFALCON G80 K8,4,15000,18.1,63,1198,450000
Tata Zest Quadrajet 1.3 75PS XM,3,90000,22.9,67,1248,490000
Honda City 1.5 S MT,11,47000,17.0,78,1497,345000
Maruti Zen LXI,15,90000,17.3,53,993 ,85000
Maruti Wagon R VXI BS IV with ABS,10,120600,18.9,67,998 ,215000
Hyundai Verna Transform SX VTVT,10,100000,16.2,88,1599,320000
Maruti Swift Dzire VXI,4,60000,20.8,81,1197,459999
Hyundai Getz GLS,15,86000,15.3,88,1341,65000
Hyundai Elite i20 Sportz Plus BSIV,0,5000,18.6,81,1197,720000
Maruti Ciaz 1.3 Alpha,3,37000,28.0,73,1248,800000
Tata Tigor 1.2 Revotron XZ,1,14000,20.3,88,1199,520000
Maruti Ertiga VDI,5,70000,20.7,78,1248,580000
Honda City i VTEC S,5,50000,17.4,88,1497,600000
Honda Brio S MT,6,60000,19.4,47,1198,290000
Maruti Wagon R LXI CNG,4,50000,26.6,74,998 ,360000
Maruti Swift Dzire VXI,3,50000,20.8,61,1197,550000
Hyundai i20 Sportz 1.2,7,70000,18.5,67,1197,375000
Maruti Wagon R AMT VXI,2,35000,20.5,67,998 ,420000
Maruti Swift Dzire VXI 1.2,3,20000,21.2,55,1197,550000
Maruti Alto 800 LXI,2,20000,24.7,67,796 ,270000
Maruti Swift Dzire AMT VXI BS IV,2,7800,22.0,88,1197,700000
Maruti Swift VXI Optional,3,20000,20.4,81,1197,500000
Tata Hexa XE,1,15000,17.6,88,2179,1250000
Hyundai i20 Magna,7,31377,18.5,81,1197,320000
Maruti Swift Dzire VDI,2,50000,28.4,73,1248,700000
Maruti Wagon R VXI BS IV,5,60000,20.5,88,998 ,290000
Toyota Corolla Altis 1.8 VL AT,8,100000,14.5,78,1794,550000
Honda Brio S MT,8,60000,19.4,88,1198,265000
Maruti Baleno Alpha Automatic,2,5000,21.4,46,1197,830000
Tata Safari Storme EX,3,60000,14.1,71,2179,800000
Maruti Alto LXi,9,25000,19.7,67,796 ,160000
Renault KWID RXT,2,30000,25.1,74,799 ,335000
Datsun GO T BSIV,3,80000,20.6,63,1198,329000
Maruti Vitara Brezza VDi Option,3,75000,24.3,88,1248,775000
Hyundai Xcent 1.2 VTVT SX,0,32000,20.1,64,1197,524000
Maruti Alto 800 LXI,5,40000,22.7,81,796 ,245000
Hyundai i20 1.2 Sportz,8,93000,17.0,67,1197,275000
Tata Zest Revotron 1.2 XT,2,60000,17.5,68,1193,520000
Nissan Sunny XL,6,37000,16.9,86,1498,550000
Ford EcoSport 1.5 Petrol Titanium Plus BSIV,2,15000,17.0,67,1497,910000
Nissan Micra Active XV S,5,80000,19.4,81,1198,300000
Maruti Wagon R LXI Optional,4,140000,20.5,98,998 ,350000
Mahindra Ssangyong Rexton RX5,7,70000,12.8,88,2696,900000
Mahindra Quanto C8,7,120000,17.2,88,1493,300000
Maruti Ritz LDi,10,110000,21.1,78,1248,250000
Hyundai Creta 1.6 CRDi SX Plus Dual Tone,3,37000,19.6,62,1582,1100000
Renault KWID RXT,4,44000,25.1,83,799 ,270000
Maruti Ertiga VDI,5,80000,20.7,83,1248,640000
Mahindra XUV500 W4,5,125000,15.1,81,2179,650000
Maruti Eeco 5 Seater AC BSIV,3,13500,15.3,73,1196,409999
Hyundai Santro Xing GLS,9,75000,17.9,88,1086,165000
Hyundai Accent GLE,13,120000,13.2,67,1495,80000
Mahindra XUV500 W8 2WD,8,120000,15.1,93,2179,535000
Toyota Innova 2.5 EV (Diesel) PS 7 Seater BS IV,7,70000,12.9,68,2494,700000
Maruti Swift Dzire VDI,7,70000,23.4,66,1248,550000
Honda Amaze S CVT Petrol BSIV,1,15000,19.0,67,1199,680000
Hyundai i10 Sportz 1.2,11,53000,20.3,88,1197,200000
Maruti Swift Dzire VDI,6,120000,23.4,81,1248,500000
Maruti Ertiga SHVS ZDI Plus,4,70000,24.5,86,1248,1000000
Hyundai Getz 1.3 GVS,12,120000,14.2,47,1341,110000
Hyundai i20 1.2 Magna,8,100000,18.5,85,1197,320000
Maruti Swift LXI Optional-O,5,100000,20.4,79,1197,350000
Tata Indica Vista TDI LS,7,162500,19.4,67,1405,170000
Hyundai i20 2015-2017 Asta 1.4 CRDi,3,39000,22.5,74,1396,800000
Maruti Ignis 1.3 Alpha,3,75000,26.8,91,1248,500000
Tata Hexa XTA,3,50000,17.6,47,2179,1380000
Mahindra Marazzo M6 8Str,1,40000,17.3,47,1497,1300000
Hyundai Verna 1.6 CRDI,7,92500,22.3,57,1582,530000
Maruti Swift Dzire VDI,8,158000,23.4,57,1248,360000
Maruti Swift Dzire LDi,8,120000,19.3,52,1248,310000
Honda City i DTEC V,5,50000,26.0,74,1498,725000
Maruti Swift Dzire ZDi,8,110000,19.3,53,1248,340000
Hyundai Xcent 1.2 CRDi E,3,2000,25.4,67,1186,550000
Toyota Fortuner 3.0 Diesel,9,181000,11.5,73,2982,1150000
Tata Tiago 1.05 Revotorq XZ,4,70000,27.2,53,1047,380000
Nissan Sunny XL AT Special Edition,7,90000,17.9,81,1498,350000
Hyundai Elite i20 Magna Plus BSIV,1,2000,18.6,55,1197,610000
Maruti Swift Dzire VXI,5,20000,20.8,85,1197,525000
Toyota Innova 2.5 GX 7 STR,9,120000,12.8,85,2494,480000
Mahindra Thar CRDe,3,35000,16.5,76,2498,780000
Maruti Swift Dzire ZDi,8,193000,19.3,82,1248,320000
Maruti Swift 1.2 DLX (Only Delhi),6,80000,20.4,46,1197,375000
Datsun GO D Petrol,1,40000,19.0,67,1198,300000
Hyundai i20 Asta 1.4 CRDi,5,70000,22.5,81,1396,500000
Mahindra Scorpio LX,9,122358,12.0,93,2179,404000
Tata Sumo Gold EX BSIII,5,75000,14.0,82,2956,500000
Tata Tiago Wizz 1.05 Revotorq,3,120000,27.2,55,1047,350000
Tata Zest Revotron 1.2 XT,5,40000,17.5,46,1193,380000
Hyundai Accent GLE,12,95200,13.2,82,1495,114999
Honda Brio Exclusive Edition,6,33033,19.4,88,1198,335000
Hyundai Grand i10 AT Asta,5,63063,18.9,46,1197,465000
Tata Manza Club Class Quadrajet90 LX,8,60000,21.0,47,1248,290000
Maruti Alto LX,15,45000,19.7,67,796 ,110000
Tata New Safari DICOR 2.2 EX 4x2,9,80000,11.5,73,2179,450000
Mahindra Bolero SLE,11,170000,13.6,88,2523,400000
Mahindra Bolero DI DX 7 Seater,13,207890,13.6,88,2523,210000
Mercedes-Benz GL-Class 220d 4MATIC Sport,2,7976,17.9,81,2143,4600000
Maruti Omni E MPI STD BS IV,4,35000,16.8,81,796 ,220000
Hyundai Grand i10 Sportz,3,35000,18.9,88,1197,450000
Hyundai Grand i10 Sportz,3,35000,18.9,86,1197,450000
Hyundai i10 Sportz AT,7,50000,16.9,55,1197,290000
Maruti Swift VXI Deca,4,20000,20.4,53,1197,520000
Hyundai i10 Sportz AT,9,20000,16.9,94,1197,265000
Maruti Swift VXI,8,50000,18.6,98,1197,330000
Maruti Swift VXI,8,50000,18.6,84,1197,330000
Mahindra Bolero 2011-2019 ZLX,6,120000,15.9,81,2523,509999
Hyundai Verna 1.6 SX VTVT (O),6,70000,17.1,88,1591,500000
Hyundai i20 Active 1.2,5,50000,17.1,88,1197,525000
Maruti Baleno Zeta,1,16500,21.0,67,1197,675000
Hyundai i20 1.2 Asta,10,70000,17.0,47,1197,300000
Maruti Alto LXI,15,99361,19.7,68,796 ,90000
Maruti Swift Dzire VDI,3,25000,26.5,78,1248,650000
Maruti Swift Dzire VXI,6,70000,19.1,81,1197,409000
Hyundai Grand i10 CRDi Sportz,5,80000,24.0,62,1120,395000
Maruti Swift Dzire VXI,6,70000,19.1,67,1197,400000
Chevrolet Beat LS,8,60000,18.6,55,1199,120000
Tata Tigor 1.2 Revotron XZA,2,10000,20.3,56,1199,645000
Maruti 800 Std,14,80000,16.1,88,796 ,81000
Honda City i-DTEC VX,3,30000,25.6,55,1498,1300000
Honda City i-DTEC VX,3,33000,25.6,53,1498,1250000
Maruti Ertiga VXI,7,90000,16.0,67,1373,535000
Nissan Terrano XV Premium 110 PS,6,80100,19.0,67,1461,555000
Honda City i VTEC VX,6,120000,17.4,98,1497,725000
Renault KWID RXL,4,40000,25.1,81,799 ,229999
Toyota Innova 2.5 GX (Diesel) 8 Seater,7,160000,12.9,81,2494,800000
Maruti Wagon R VXI BS IV,3,47000,20.5,68,998 ,409999
Hyundai Creta 1.4 CRDi S Plus,2,25000,21.3,69,1396,1210000
Tata Tiago 1.2 Revotron XZ,3,26000,23.8,47,1199,400000
Hyundai Grand i10 1.2 CRDi Sportz,2,29000,24.0,88,1186,520000
Maruti Baleno Zeta Automatic,4,50000,21.4,83,1197,650000
Maruti Swift ZXI ABS,9,58000,16.1,34,1298,325000
Maruti Swift Dzire VXi AT,8,120000,17.4,67,1197,420000
Maruti Swift LXI Option,6,50000,20.4,68,1197,400000
Hyundai i20 1.2 Asta,10,80000,17.0,88,1197,254999
Maruti Zen LXI,17,60000,17.3,67,993 ,65000
Maruti Celerio LXI,3,36000,23.1,88,998 ,351000
Toyota Innova 2.5 V Diesel 8-seater,13,120000,12.8,67,2494,404000
Maruti Ritz LDi,9,185000,21.1,73,1248,185000
Nissan Micra Diesel XV,9,50000,23.0,53,1461,250000
Maruti Zen LXI,18,100000,17.3,62,993 ,60000
Hyundai Verna 1.6 SX VTVT (O),7,50000,17.1,67,1591,500000
Maruti Zen Estilo LXI BSIII,13,80000,18.2,55,998 ,85000
Maruti Alto LX,15,80000,19.7,67,796 ,85000
Maruti Swift Dzire ZDi,9,90000,19.3,98,1248,265000
Maruti A-Star Vxi,10,162000,19.0,67,998 ,130000
Maruti Ertiga VDI,7,110000,20.7,67,1248,480000
Maruti Swift Ldi BSIII,12,120000,17.8,67,1248,170000
Nissan Micra Diesel XV,9,45000,23.0,67,1461,275000
Maruti Wagon R LXI,15,90000,18.9,88,998 ,89000
Ford Figo Diesel Titanium,10,90000,20.0,81,1399,170000
Mahindra XUV300 W8 Option BSIV,1,16500,17.0,88,1197,1090000
Hyundai Creta 1.6 CRDi AT SX Plus,3,67000,17.0,81,1582,1100000
Maruti Swift VXI BSIV,2,52000,22.0,73,1197,610000
Datsun GO T Option BSIV,4,40000,20.6,88,1198,335000
Hyundai Grand i10 Asta,5,40000,18.9,66,1197,434999
Toyota Fortuner 2.8 2WD MT BSIV,2,35000,14.2,78,2755,3000000
Renault KWID RXL,2,13000,20.7,46,799 ,390000
Honda Brio 1.2 VX MT,8,40000,18.5,88,1198,325000
Volkswagen Ameo 1.2 MPI Comfortline Plus,1,10000,17.0,85,1198,640000
Nissan Sunny XV Special Edition,8,9000,16.9,81,1498,450000
Toyota Etios Liva GD SP,7,70000,23.5,98,1364,400000
Hyundai i10 Sportz,11,60000,20.3,86,1197,215000
Renault Duster 85PS Diesel RxL,6,40000,20.4,62,1461,570000
Mahindra XUV500 W8 2WD,8,93000,15.1,62,2179,680000
Toyota Innova 2.5 V Diesel 7-seater,12,80000,12.8,62,2494,325000
Tata Indigo CS eGLX BS IV,9,50000,15.6,84,1193,150000
Hyundai Elantra SX AT,7,68000,14.5,62,1797,690000
Mercedes-Benz New C-Class 220 CDI AT,7,25000,14.8,67,2143,1550000
Tata Nano STD,8,18000,25.4,68,624 ,64000
Nissan Micra Diesel XL,7,120000,23.0,69,1461,250000
Maruti Wagon R LXI,15,35000,18.9,74,998 ,65000
Maruti Swift Dzire VDI,4,60000,26.5,67,1248,550000
Hyundai i10 Magna,10,70000,20.3,55,1197,140000
Renault KWID RXT,4,30000,25.1,67,799 ,300000
Volkswagen GTI 1.8 TSI,4,70000,16.3,67,1798,800000
Jaguar XE 2016-2019 2.0L Diesel Prestige,3,9000,13.6,55,1999,2625000
Lexus ES 300h,1,20000,22.3,72,2487,5150000
Jaguar XF 2.0 Diesel Portfolio,3,45000,19.3,88,1999,3200000
Tata Safari Storme EX,5,110000,14.1,81,2179,503000
Volvo XC40 D4 Inscription BSIV,1,20000,18.0,67,1969,3800000
Toyota Camry 2.5 Hybrid,4,68089,19.1,88,2494,2000000
Maruti Wagon R LXI,7,58343,21.7,67,998 ,225000
Maruti Baleno Alpha 1.3,2,38817,27.3,62,1248,740000
Honda Jazz VX,4,56494,18.2,62,1199,550000
Toyota Innova 2.5 VX (Diesel) 7 Seater,7,79328,12.9,97,2494,750000
Maruti Swift AMT VVT VXI,1,5621,22.0,88,1197,650000
Toyota Etios VX,3,25538,16.7,81,1496,625000
Maruti Swift AMT ZXI,2,69779,22.0,94,1197,600000
Hyundai Grand i10 1.2 CRDi Sportz,3,56290,24.0,81,1186,450000
BMW X4 M Sport X xDrive20d,1,7500,16.7,88,1995,5400000
BMW X4 M Sport X xDrive20d,1,8500,16.7,79,1995,5500000
Honda Amaze V CVT Petrol BSIV,1,7032,19.0,81,1199,779000
Skoda Rapid 1.6 MPI AT Elegance,4,11000,14.3,81,1598,645000
Volvo V40 D3 R-Design,2,2000,16.8,67,1984,2475000
Hyundai i10 Magna,10,106000,20.3,86,1197,150000
Honda CR-V 2.4L 4WD AT,11,120000,11.1,55,2354,500000
Maruti Swift Dzire VDI,5,90000,26.5,55,1248,480000
Hyundai Verna 1.6 SX CRDi (O),6,70000,22.3,46,1582,535000
Toyota Innova 2.5 G1 Diesel 8-seater,15,240000,12.8,52,2494,250000
Maruti SX4 Celebration Diesel,8,100000,21.5,88,1248,300000
Hyundai Verna XXi ABS (Petrol),11,214000,13.9,73,1599,340000
Hyundai Verna CRDi SX,11,214000,16.8,81,1493,340000
Maruti Alto 800 VXI,4,50000,22.7,91,796 ,240000
Honda City i-VTEC CVT V,2,1000,18.0,73,1497,1085000
Maruti Swift Dzire AMT VDI,3,19000,28.4,86,1248,750000
Tata Indigo LS,8,265000,17.0,67,1405,95000
Maruti Eeco CNG 5 Seater AC,0,35000,20.8,94,1196,409999
Maruti Alto K10 VXI,6,80000,23.9,74,998 ,215000
Mahindra XUV500 AT W10 AWD,4,50000,16.0,85,2179,1290000
Maruti Alto K10 LXI,10,80000,20.9,94,998 ,150000
Hyundai EON Sportz,7,50000,21.1,46,814 ,219000
Tata Tiago 1.2 Revotron XE,2,100000,23.8,73,1199,325000
Maruti Eeco Smiles 5 Seater AC,7,120000,15.1,73,1196,260000
Jaguar XE 2016-2019 2.0L Diesel Prestige,3,9000,13.6,67,1999,2625000
Lexus ES 300h,1,20000,22.3,81,2487,5150000
Jaguar XF 2.0 Diesel Portfolio,3,45000,19.3,55,1999,3200000
Tata Safari Storme EX,5,110000,14.1,73,2179,503000
Volvo XC40 D4 Inscription BSIV,1,20000,18.0,98,1969,3800000
Toyota Camry 2.5 Hybrid,4,68089,19.1,93,2494,2000000
Maruti Wagon R LXI,7,58343,21.7,93,998 ,225000
Maruti Baleno Alpha 1.3,2,38817,27.3,81,1248,740000
Honda Jazz VX,4,56494,18.2,34,1199,550000
